name,number_of_na
Nuclei_Texture_Correlation_Brightfield_5_02,0
Nuclei_Texture_Correlation_Brightfield_5_03,0
Nuclei_Texture_Correlation_DNA_10_00,0
Nuclei_Texture_Correlation_DNA_10_01,0
Nuclei_Texture_Correlation_DNA_10_02,0
Nuclei_Texture_Correlation_DNA_10_03,0
Nuclei_Texture_Correlation_DNA_20_00,0
Nuclei_Texture_Correlation_DNA_20_01,0
Nuclei_Texture_Correlation_DNA_20_02,0
Nuclei_Texture_Correlation_DNA_20_03,0
Nuclei_Texture_Correlation_DNA_5_00,0
Nuclei_Texture_Correlation_DNA_5_01,0
Nuclei_Texture_Correlation_DNA_5_02,0
Nuclei_Texture_Correlation_DNA_5_03,0
Nuclei_Texture_Correlation_ER_10_00,0
Nuclei_Texture_Correlation_ER_10_01,0
Nuclei_Texture_Correlation_ER_10_02,0
Nuclei_Texture_Correlation_ER_10_03,0
Nuclei_Texture_Correlation_ER_20_00,0
Nuclei_Texture_Correlation_ER_20_01,0
Nuclei_Texture_Correlation_ER_20_02,0
Nuclei_Texture_Correlation_ER_20_03,0
Nuclei_Texture_Correlation_ER_5_00,0
Nuclei_Texture_Correlation_ER_5_01,0
Nuclei_Texture_Correlation_ER_5_02,0
Nuclei_Texture_Correlation_ER_5_03,0
Nuclei_Texture_Correlation_Mito_10_00,0
Nuclei_Texture_Correlation_Mito_10_01,0
Nuclei_Texture_Correlation_Mito_10_02,0
Nuclei_Texture_Correlation_Mito_10_03,0
Nuclei_Texture_Correlation_Mito_20_00,0
Nuclei_Texture_Correlation_Mito_20_01,0
Nuclei_Texture_Correlation_Mito_20_02,0
Nuclei_Texture_Correlation_Mito_20_03,0
Nuclei_Texture_Correlation_Mito_5_00,0
Nuclei_Texture_Correlation_Mito_5_01,0
Nuclei_Texture_Correlation_Mito_5_02,0
Nuclei_Texture_Correlation_Mito_5_03,0
Nuclei_Texture_Correlation_RNA_10_00,0
Nuclei_Texture_Correlation_RNA_10_01,0
Nuclei_Texture_Correlation_RNA_10_02,0
Nuclei_Texture_Correlation_RNA_10_03,0
Nuclei_Texture_Correlation_RNA_20_00,0
Nuclei_Texture_Correlation_RNA_20_01,0
Nuclei_Texture_Correlation_RNA_20_02,0
Nuclei_Texture_Correlation_RNA_20_03,0
Nuclei_Texture_Correlation_RNA_5_00,0
Nuclei_Texture_Correlation_RNA_5_01,0
Nuclei_Texture_Correlation_RNA_5_02,0
Nuclei_Texture_Correlation_RNA_5_03,0
Nuclei_Texture_DifferenceEntropy_AGP_10_00,0
Nuclei_Texture_DifferenceEntropy_AGP_10_01,0
Nuclei_Texture_DifferenceEntropy_AGP_10_02,0
Nuclei_Texture_DifferenceEntropy_AGP_10_03,0
Nuclei_Texture_DifferenceEntropy_AGP_20_00,0
Nuclei_Texture_DifferenceEntropy_AGP_20_01,0
Nuclei_Texture_DifferenceEntropy_AGP_20_02,0
Nuclei_Texture_DifferenceEntropy_AGP_20_03,0
Nuclei_Texture_DifferenceEntropy_AGP_5_00,0
Nuclei_Texture_DifferenceEntropy_AGP_5_01,0
Nuclei_Texture_DifferenceEntropy_AGP_5_02,0
Nuclei_Texture_DifferenceEntropy_AGP_5_03,0
Nuclei_Texture_DifferenceEntropy_Brightfield_10_00,0
Nuclei_Texture_DifferenceEntropy_Brightfield_10_01,0
Nuclei_Texture_DifferenceEntropy_Brightfield_10_02,0
Nuclei_Texture_DifferenceEntropy_Brightfield_10_03,0
Nuclei_Texture_DifferenceEntropy_Brightfield_20_00,0
Nuclei_Texture_DifferenceEntropy_Brightfield_20_01,0
Nuclei_Texture_DifferenceEntropy_Brightfield_20_02,0
Nuclei_Texture_DifferenceEntropy_Brightfield_20_03,0
Nuclei_Texture_DifferenceEntropy_Brightfield_5_00,0
Nuclei_Texture_DifferenceEntropy_Brightfield_5_01,0
Nuclei_Texture_DifferenceEntropy_Brightfield_5_02,0
Nuclei_Texture_DifferenceEntropy_Brightfield_5_03,0
Nuclei_Texture_DifferenceEntropy_DNA_10_00,0
Nuclei_Texture_DifferenceEntropy_DNA_10_01,0
Nuclei_Texture_DifferenceEntropy_DNA_10_02,0
Nuclei_Texture_DifferenceEntropy_DNA_10_03,0
Nuclei_Texture_DifferenceEntropy_DNA_20_00,0
Nuclei_Texture_DifferenceEntropy_DNA_20_01,0
Nuclei_Texture_DifferenceEntropy_DNA_20_02,0
Nuclei_Texture_DifferenceEntropy_DNA_20_03,0
Nuclei_Texture_DifferenceEntropy_DNA_5_00,0
Nuclei_Texture_DifferenceEntropy_DNA_5_01,0
Nuclei_Texture_DifferenceEntropy_DNA_5_02,0
Nuclei_Texture_DifferenceEntropy_DNA_5_03,0
Nuclei_Texture_DifferenceEntropy_ER_10_00,0
Nuclei_Texture_DifferenceEntropy_ER_10_01,0
Nuclei_Texture_DifferenceEntropy_ER_10_02,0
Nuclei_Texture_DifferenceEntropy_ER_10_03,0
Nuclei_Texture_DifferenceEntropy_ER_20_00,0
Nuclei_Texture_DifferenceEntropy_ER_20_01,0
Nuclei_Texture_DifferenceEntropy_ER_20_02,0
Nuclei_Texture_DifferenceEntropy_ER_20_03,0
Nuclei_Texture_DifferenceEntropy_ER_5_00,0
Nuclei_Texture_DifferenceEntropy_ER_5_01,0
Nuclei_Texture_DifferenceEntropy_ER_5_02,0
Nuclei_Texture_DifferenceEntropy_ER_5_03,0
Nuclei_Texture_DifferenceEntropy_Mito_10_00,0
Nuclei_Texture_DifferenceEntropy_Mito_10_01,0
Nuclei_Texture_DifferenceEntropy_Mito_10_02,0
Nuclei_Texture_DifferenceEntropy_Mito_10_03,0
Nuclei_Texture_DifferenceEntropy_Mito_20_00,0
Nuclei_Texture_DifferenceEntropy_Mito_20_01,0
Nuclei_Texture_DifferenceEntropy_Mito_20_02,0
Nuclei_Texture_DifferenceEntropy_Mito_20_03,0
Nuclei_Texture_DifferenceEntropy_Mito_5_00,0
Nuclei_Texture_DifferenceEntropy_Mito_5_01,0
Nuclei_Texture_DifferenceEntropy_Mito_5_02,0
Nuclei_Texture_DifferenceEntropy_Mito_5_03,0
Nuclei_Texture_DifferenceEntropy_RNA_10_00,0
Nuclei_Texture_DifferenceEntropy_RNA_10_01,0
Nuclei_Texture_DifferenceEntropy_RNA_10_02,0
Nuclei_Texture_DifferenceEntropy_RNA_10_03,0
Nuclei_Texture_DifferenceEntropy_RNA_20_00,0
Nuclei_Texture_DifferenceEntropy_RNA_20_01,0
Nuclei_Texture_DifferenceEntropy_RNA_20_02,0
Nuclei_Texture_DifferenceEntropy_RNA_20_03,0
Nuclei_Texture_DifferenceEntropy_RNA_5_00,0
Nuclei_Texture_DifferenceEntropy_RNA_5_01,0
Nuclei_Texture_DifferenceEntropy_RNA_5_02,0
Nuclei_Texture_DifferenceEntropy_RNA_5_03,0
Nuclei_Texture_DifferenceVariance_AGP_10_00,0
Nuclei_Texture_DifferenceVariance_AGP_10_01,0
Nuclei_Texture_DifferenceVariance_AGP_10_02,0
Nuclei_Texture_DifferenceVariance_AGP_10_03,0
Nuclei_Texture_DifferenceVariance_AGP_20_00,0
Nuclei_Texture_DifferenceVariance_AGP_20_01,0
Nuclei_Texture_DifferenceVariance_AGP_20_02,0
Nuclei_Texture_DifferenceVariance_AGP_20_03,0
Nuclei_Texture_DifferenceVariance_AGP_5_00,0
Nuclei_Texture_DifferenceVariance_AGP_5_01,0
Nuclei_Texture_DifferenceVariance_AGP_5_02,0
Nuclei_Texture_DifferenceVariance_AGP_5_03,0
Nuclei_Texture_DifferenceVariance_Brightfield_10_00,0
Nuclei_Texture_DifferenceVariance_Brightfield_10_01,0
Nuclei_Texture_DifferenceVariance_Brightfield_10_02,0
Nuclei_Texture_DifferenceVariance_Brightfield_10_03,0
Nuclei_Texture_DifferenceVariance_Brightfield_20_00,0
Nuclei_Texture_DifferenceVariance_Brightfield_20_01,0
Nuclei_Texture_DifferenceVariance_Brightfield_20_02,0
Nuclei_Texture_DifferenceVariance_Brightfield_20_03,0
Nuclei_Texture_DifferenceVariance_Brightfield_5_00,0
Nuclei_Texture_DifferenceVariance_Brightfield_5_01,0
Nuclei_Texture_DifferenceVariance_Brightfield_5_02,0
Nuclei_Texture_DifferenceVariance_Brightfield_5_03,0
Nuclei_Texture_DifferenceVariance_DNA_10_00,0
Nuclei_Texture_DifferenceVariance_DNA_10_01,0
Nuclei_Texture_DifferenceVariance_DNA_10_02,0
Nuclei_Texture_DifferenceVariance_DNA_10_03,0
Nuclei_Texture_DifferenceVariance_DNA_20_00,0
Nuclei_Texture_DifferenceVariance_DNA_20_01,0
Nuclei_Texture_DifferenceVariance_DNA_20_02,0
Nuclei_Texture_DifferenceVariance_DNA_20_03,0
Nuclei_Texture_DifferenceVariance_DNA_5_00,0
Nuclei_Texture_DifferenceVariance_DNA_5_01,0
Nuclei_Texture_DifferenceVariance_DNA_5_02,0
Nuclei_Texture_DifferenceVariance_DNA_5_03,0
Nuclei_Texture_DifferenceVariance_ER_10_00,0
Nuclei_Texture_DifferenceVariance_ER_10_01,0
Nuclei_Texture_DifferenceVariance_ER_10_02,0
Nuclei_Texture_DifferenceVariance_ER_10_03,0
Nuclei_Texture_DifferenceVariance_ER_20_00,0
Nuclei_Texture_DifferenceVariance_ER_20_01,0
Nuclei_Texture_DifferenceVariance_ER_20_02,0
Nuclei_Texture_DifferenceVariance_ER_20_03,0
Nuclei_Texture_DifferenceVariance_ER_5_00,0
Nuclei_Texture_DifferenceVariance_ER_5_01,0
Nuclei_Texture_DifferenceVariance_ER_5_02,0
Nuclei_Texture_DifferenceVariance_ER_5_03,0
Nuclei_Texture_DifferenceVariance_Mito_10_00,0
Nuclei_Texture_DifferenceVariance_Mito_10_01,0
Nuclei_Texture_DifferenceVariance_Mito_10_02,0
Nuclei_Texture_DifferenceVariance_Mito_10_03,0
Nuclei_Texture_DifferenceVariance_Mito_20_00,0
Nuclei_Texture_DifferenceVariance_Mito_20_01,0
Nuclei_Texture_DifferenceVariance_Mito_20_02,0
Nuclei_Texture_DifferenceVariance_Mito_20_03,0
Nuclei_Texture_DifferenceVariance_Mito_5_00,0
Nuclei_Texture_DifferenceVariance_Mito_5_01,0
Nuclei_Texture_DifferenceVariance_Mito_5_02,0
Nuclei_Texture_DifferenceVariance_Mito_5_03,0
Nuclei_Texture_DifferenceVariance_RNA_10_00,0
Nuclei_Texture_DifferenceVariance_RNA_10_01,0
Nuclei_Texture_DifferenceVariance_RNA_10_02,0
Nuclei_Texture_DifferenceVariance_RNA_10_03,0
Nuclei_Texture_DifferenceVariance_RNA_20_00,0
Nuclei_Texture_DifferenceVariance_RNA_20_01,0
Nuclei_Texture_DifferenceVariance_RNA_20_02,0
Nuclei_Texture_DifferenceVariance_RNA_20_03,0
Nuclei_Texture_DifferenceVariance_RNA_5_00,0
Nuclei_Texture_DifferenceVariance_RNA_5_01,0
Nuclei_Texture_DifferenceVariance_RNA_5_02,0
Nuclei_Texture_DifferenceVariance_RNA_5_03,0
Nuclei_Texture_Entropy_AGP_10_00,0
Nuclei_Texture_Entropy_AGP_10_01,0
Nuclei_Texture_Entropy_AGP_10_02,0
Nuclei_Texture_Entropy_AGP_10_03,0
Nuclei_Texture_Entropy_AGP_20_00,0
Nuclei_Texture_Entropy_AGP_20_01,0
Nuclei_Texture_Entropy_AGP_20_02,0
Nuclei_Texture_Entropy_AGP_20_03,0
Nuclei_Texture_Entropy_AGP_5_00,0
Nuclei_Texture_Entropy_AGP_5_01,0
Nuclei_Texture_Entropy_AGP_5_02,0
Nuclei_Texture_Entropy_AGP_5_03,0
Nuclei_Texture_Entropy_Brightfield_10_00,0
Nuclei_Texture_Entropy_Brightfield_10_01,0
Nuclei_Texture_Entropy_Brightfield_10_02,0
Nuclei_Texture_Entropy_Brightfield_10_03,0
Nuclei_Texture_Entropy_Brightfield_20_00,0
Nuclei_Texture_Entropy_Brightfield_20_01,0
Nuclei_Texture_Entropy_Brightfield_20_02,0
Nuclei_Texture_Entropy_Brightfield_20_03,0
Nuclei_Texture_Entropy_Brightfield_5_00,0
Nuclei_Texture_Entropy_Brightfield_5_01,0
Nuclei_Texture_Entropy_Brightfield_5_02,0
Nuclei_Texture_Entropy_Brightfield_5_03,0
Nuclei_Texture_Entropy_DNA_10_00,0
Nuclei_Texture_Entropy_DNA_10_01,0
Nuclei_Texture_Entropy_DNA_10_02,0
Nuclei_Texture_Entropy_DNA_10_03,0
Nuclei_Texture_Entropy_DNA_20_00,0
Nuclei_Texture_Entropy_DNA_20_01,0
Nuclei_Texture_Entropy_DNA_20_02,0
Nuclei_Texture_Entropy_DNA_20_03,0
Nuclei_Texture_Entropy_DNA_5_00,0
Nuclei_Texture_Entropy_DNA_5_01,0
Nuclei_Texture_Entropy_DNA_5_02,0
Nuclei_Texture_Entropy_DNA_5_03,0
Nuclei_Texture_Entropy_ER_10_00,0
Nuclei_Texture_Entropy_ER_10_01,0
Nuclei_Texture_Entropy_ER_10_02,0
Nuclei_Texture_Entropy_ER_10_03,0
Nuclei_Texture_Entropy_ER_20_00,0
Nuclei_Texture_Entropy_ER_20_01,0
Nuclei_Texture_Entropy_ER_20_02,0
Nuclei_Texture_Entropy_ER_20_03,0
Nuclei_Texture_Entropy_ER_5_00,0
Nuclei_Texture_Entropy_ER_5_01,0
Nuclei_Texture_Entropy_ER_5_02,0
Nuclei_Texture_Entropy_ER_5_03,0
Nuclei_Texture_Entropy_Mito_10_00,0
Nuclei_Texture_Entropy_Mito_10_01,0
Nuclei_Texture_Entropy_Mito_10_02,0
Nuclei_Texture_Entropy_Mito_10_03,0
Nuclei_Texture_Entropy_Mito_20_00,0
Nuclei_Texture_Entropy_Mito_20_01,0
Nuclei_Texture_Entropy_Mito_20_02,0
Nuclei_Texture_Entropy_Mito_20_03,0
Nuclei_Texture_Entropy_Mito_5_00,0
Nuclei_Texture_Entropy_Mito_5_01,0
Nuclei_Texture_Entropy_Mito_5_02,0
Nuclei_Texture_Entropy_Mito_5_03,0
Nuclei_Texture_Entropy_RNA_10_00,0
Nuclei_Texture_Entropy_RNA_10_01,0
Nuclei_Texture_Entropy_RNA_10_02,0
Nuclei_Texture_Entropy_RNA_10_03,0
Nuclei_Texture_Entropy_RNA_20_00,0
Nuclei_Texture_Entropy_RNA_20_01,0
Nuclei_Texture_Entropy_RNA_20_02,0
Nuclei_Texture_Entropy_RNA_20_03,0
Nuclei_Texture_Entropy_RNA_5_00,0
Nuclei_Texture_Entropy_RNA_5_01,0
Nuclei_Texture_Entropy_RNA_5_02,0
Nuclei_Texture_Entropy_RNA_5_03,0
Nuclei_Texture_InfoMeas1_AGP_10_00,0
Nuclei_Texture_InfoMeas1_AGP_10_01,0
Nuclei_Texture_InfoMeas1_AGP_10_02,0
Nuclei_Texture_InfoMeas1_AGP_10_03,0
Nuclei_Texture_InfoMeas1_AGP_20_00,0
Nuclei_Texture_InfoMeas1_AGP_20_01,0
Nuclei_Texture_InfoMeas1_AGP_20_02,0
Nuclei_Texture_InfoMeas1_AGP_20_03,0
Nuclei_Texture_InfoMeas1_AGP_5_00,0
Nuclei_Texture_InfoMeas1_AGP_5_01,0
Nuclei_Texture_InfoMeas1_AGP_5_02,0
Nuclei_Texture_InfoMeas1_AGP_5_03,0
Nuclei_Texture_InfoMeas1_Brightfield_10_00,0
Nuclei_Texture_InfoMeas1_Brightfield_10_01,0
Nuclei_Texture_InfoMeas1_Brightfield_10_02,0
Nuclei_Texture_InfoMeas1_Brightfield_10_03,0
Nuclei_Texture_InfoMeas1_Brightfield_20_00,0
Nuclei_Texture_InfoMeas1_Brightfield_20_01,0
Nuclei_Texture_InfoMeas1_Brightfield_20_02,0
Nuclei_Texture_InfoMeas1_Brightfield_20_03,0
Nuclei_Texture_InfoMeas1_Brightfield_5_00,0
Nuclei_Texture_InfoMeas1_Brightfield_5_01,0
Nuclei_Texture_InfoMeas1_Brightfield_5_02,0
Nuclei_Texture_InfoMeas1_Brightfield_5_03,0
Nuclei_Texture_InfoMeas1_DNA_10_00,0
Nuclei_Texture_InfoMeas1_DNA_10_01,0
Nuclei_Texture_InfoMeas1_DNA_10_02,0
Nuclei_Texture_InfoMeas1_DNA_10_03,0
Nuclei_Texture_InfoMeas1_DNA_20_00,0
Nuclei_Texture_InfoMeas1_DNA_20_01,0
Nuclei_Texture_InfoMeas1_DNA_20_02,0
Nuclei_Texture_InfoMeas1_DNA_20_03,0
Nuclei_Texture_InfoMeas1_DNA_5_00,0
Nuclei_Texture_InfoMeas1_DNA_5_01,0
Nuclei_Texture_InfoMeas1_DNA_5_02,0
Nuclei_Texture_InfoMeas1_DNA_5_03,0
Nuclei_Texture_InfoMeas1_ER_10_00,0
Nuclei_Texture_InfoMeas1_ER_10_01,0
Nuclei_Texture_InfoMeas1_ER_10_02,0
Nuclei_Texture_InfoMeas1_ER_10_03,0
Nuclei_Texture_InfoMeas1_ER_20_00,0
Nuclei_Texture_InfoMeas1_ER_20_01,0
Nuclei_Texture_InfoMeas1_ER_20_02,0
Nuclei_Texture_InfoMeas1_ER_20_03,0
Nuclei_Texture_InfoMeas1_ER_5_00,0
Nuclei_Texture_InfoMeas1_ER_5_01,0
Nuclei_Texture_InfoMeas1_ER_5_02,0
Nuclei_Texture_InfoMeas1_ER_5_03,0
Nuclei_Texture_InfoMeas1_Mito_10_00,0
Nuclei_Texture_InfoMeas1_Mito_10_01,0
Nuclei_Texture_InfoMeas1_Mito_10_02,0
Nuclei_Texture_InfoMeas1_Mito_10_03,0
Nuclei_Texture_InfoMeas1_Mito_20_00,0
Nuclei_Texture_InfoMeas1_Mito_20_01,0
Nuclei_Texture_InfoMeas1_Mito_20_02,0
Nuclei_Texture_InfoMeas1_Mito_20_03,0
Nuclei_Texture_InfoMeas1_Mito_5_00,0
Nuclei_Texture_InfoMeas1_Mito_5_01,0
Nuclei_Texture_InfoMeas1_Mito_5_02,0
Nuclei_Texture_InfoMeas1_Mito_5_03,0
Nuclei_Texture_InfoMeas1_RNA_10_00,0
Nuclei_Texture_InfoMeas1_RNA_10_01,0
Nuclei_Texture_InfoMeas1_RNA_10_02,0
Nuclei_Texture_InfoMeas1_RNA_10_03,0
Nuclei_Texture_InfoMeas1_RNA_20_00,0
Nuclei_Texture_InfoMeas1_RNA_20_01,0
Nuclei_Texture_InfoMeas1_RNA_20_02,0
Nuclei_Texture_InfoMeas1_RNA_20_03,0
Nuclei_Texture_InfoMeas1_RNA_5_00,0
Nuclei_Texture_InfoMeas1_RNA_5_01,0
Nuclei_Texture_InfoMeas1_RNA_5_02,0
Nuclei_Texture_InfoMeas1_RNA_5_03,0
Nuclei_Texture_InfoMeas2_AGP_10_00,0
Nuclei_Texture_InfoMeas2_AGP_10_01,0
Nuclei_Texture_InfoMeas2_AGP_10_02,0
Nuclei_Texture_InfoMeas2_AGP_10_03,0
Nuclei_Texture_InfoMeas2_AGP_20_00,0
Nuclei_Texture_InfoMeas2_AGP_20_01,0
Nuclei_Texture_InfoMeas2_AGP_20_02,0
Nuclei_Texture_InfoMeas2_AGP_20_03,0
Nuclei_Texture_InfoMeas2_AGP_5_00,0
Nuclei_Texture_InfoMeas2_AGP_5_01,0
Nuclei_Texture_InfoMeas2_AGP_5_02,0
Nuclei_Texture_InfoMeas2_AGP_5_03,0
Nuclei_Texture_InfoMeas2_Brightfield_10_00,0
Nuclei_Texture_InfoMeas2_Brightfield_10_01,0
Nuclei_Texture_InfoMeas2_Brightfield_10_02,0
Nuclei_Texture_InfoMeas2_Brightfield_10_03,0
Nuclei_Texture_InfoMeas2_Brightfield_20_00,0
Nuclei_Texture_InfoMeas2_Brightfield_20_01,0
Nuclei_Texture_InfoMeas2_Brightfield_20_02,0
Nuclei_Texture_InfoMeas2_Brightfield_20_03,0
Nuclei_Texture_InfoMeas2_Brightfield_5_00,0
Nuclei_Texture_InfoMeas2_Brightfield_5_01,0
Nuclei_Texture_InfoMeas2_Brightfield_5_02,0
Nuclei_Texture_InfoMeas2_Brightfield_5_03,0
Nuclei_Texture_InfoMeas2_DNA_10_00,0
Nuclei_Texture_InfoMeas2_DNA_10_01,0
Nuclei_Texture_InfoMeas2_DNA_10_02,0
Nuclei_Texture_InfoMeas2_DNA_10_03,0
Nuclei_Texture_InfoMeas2_DNA_20_00,0
Nuclei_Texture_InfoMeas2_DNA_20_01,0
Nuclei_Texture_InfoMeas2_DNA_20_02,0
Nuclei_Texture_InfoMeas2_DNA_20_03,0
Nuclei_Texture_InfoMeas2_DNA_5_00,0
Nuclei_Texture_InfoMeas2_DNA_5_01,0
Nuclei_Texture_InfoMeas2_DNA_5_02,0
Nuclei_Texture_InfoMeas2_DNA_5_03,0
Nuclei_Texture_InfoMeas2_ER_10_00,0
Nuclei_Texture_InfoMeas2_ER_10_01,0
Nuclei_Texture_InfoMeas2_ER_10_02,0
Nuclei_Texture_InfoMeas2_ER_10_03,0
Nuclei_Texture_InfoMeas2_ER_20_00,0
Nuclei_Texture_InfoMeas2_ER_20_01,0
Nuclei_Texture_InfoMeas2_ER_20_02,0
Nuclei_Texture_InfoMeas2_ER_20_03,0
Nuclei_Texture_InfoMeas2_ER_5_00,0
Nuclei_Texture_InfoMeas2_ER_5_01,0
Nuclei_Texture_InfoMeas2_ER_5_02,0
Nuclei_Texture_InfoMeas2_ER_5_03,0
Nuclei_Texture_InfoMeas2_Mito_10_00,0
Nuclei_Texture_InfoMeas2_Mito_10_01,0
Nuclei_Texture_InfoMeas2_Mito_10_02,0
Nuclei_Texture_InfoMeas2_Mito_10_03,0
Nuclei_Texture_InfoMeas2_Mito_20_00,0
Nuclei_Texture_InfoMeas2_Mito_20_01,0
Nuclei_Texture_InfoMeas2_Mito_20_02,0
Nuclei_Texture_InfoMeas2_Mito_20_03,0
Nuclei_Texture_InfoMeas2_Mito_5_00,0
Nuclei_Texture_InfoMeas2_Mito_5_01,0
Nuclei_Texture_InfoMeas2_Mito_5_02,0
Nuclei_Texture_InfoMeas2_Mito_5_03,0
Nuclei_Texture_InfoMeas2_RNA_10_00,0
Nuclei_Texture_InfoMeas2_RNA_10_01,0
Nuclei_Texture_InfoMeas2_RNA_10_02,0
Nuclei_Texture_InfoMeas2_RNA_10_03,0
Nuclei_Texture_InfoMeas2_RNA_20_00,0
Nuclei_Texture_InfoMeas2_RNA_20_01,0
Nuclei_Texture_InfoMeas2_RNA_20_02,0
Nuclei_Texture_InfoMeas2_RNA_20_03,0
Nuclei_Texture_InfoMeas2_RNA_5_00,0
Nuclei_Texture_InfoMeas2_RNA_5_01,0
Nuclei_Texture_InfoMeas2_RNA_5_02,0
Nuclei_Texture_InfoMeas2_RNA_5_03,0
Nuclei_Texture_InverseDifferenceMoment_AGP_10_00,0
Nuclei_Texture_InverseDifferenceMoment_AGP_10_01,0
Nuclei_Texture_InverseDifferenceMoment_AGP_10_02,0
Nuclei_Texture_InverseDifferenceMoment_AGP_10_03,0
Nuclei_Texture_InverseDifferenceMoment_AGP_20_00,0
Nuclei_Texture_InverseDifferenceMoment_AGP_20_01,0
Nuclei_Texture_InverseDifferenceMoment_AGP_20_02,0
Nuclei_Texture_InverseDifferenceMoment_AGP_20_03,0
Nuclei_Texture_InverseDifferenceMoment_AGP_5_00,0
Nuclei_Texture_InverseDifferenceMoment_AGP_5_01,0
Nuclei_Texture_InverseDifferenceMoment_AGP_5_02,0
Nuclei_Texture_InverseDifferenceMoment_AGP_5_03,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_10_00,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_10_01,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_10_02,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_10_03,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_20_00,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_20_01,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_20_02,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_20_03,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_5_00,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_5_01,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_5_02,0
Nuclei_Texture_InverseDifferenceMoment_Brightfield_5_03,0
Nuclei_Texture_InverseDifferenceMoment_DNA_10_00,0
Nuclei_Texture_InverseDifferenceMoment_DNA_10_01,0
Nuclei_Texture_InverseDifferenceMoment_DNA_10_02,0
Nuclei_Texture_InverseDifferenceMoment_DNA_10_03,0
Nuclei_Texture_InverseDifferenceMoment_DNA_20_00,0
Nuclei_Texture_InverseDifferenceMoment_DNA_20_01,0
Nuclei_Texture_InverseDifferenceMoment_DNA_20_02,0
Nuclei_Texture_InverseDifferenceMoment_DNA_20_03,0
Nuclei_Texture_InverseDifferenceMoment_DNA_5_00,0
Nuclei_Texture_InverseDifferenceMoment_DNA_5_01,0
Nuclei_Texture_InverseDifferenceMoment_DNA_5_02,0
Nuclei_Texture_InverseDifferenceMoment_DNA_5_03,0
Nuclei_Texture_InverseDifferenceMoment_ER_10_00,0
Nuclei_Texture_InverseDifferenceMoment_ER_10_01,0
Nuclei_Texture_InverseDifferenceMoment_ER_10_02,0
Nuclei_Texture_InverseDifferenceMoment_ER_10_03,0
Nuclei_Texture_InverseDifferenceMoment_ER_20_00,0
Nuclei_Texture_InverseDifferenceMoment_ER_20_01,0
Nuclei_Texture_InverseDifferenceMoment_ER_20_02,0
Nuclei_Texture_InverseDifferenceMoment_ER_20_03,0
Nuclei_Texture_InverseDifferenceMoment_ER_5_00,0
Nuclei_Texture_InverseDifferenceMoment_ER_5_01,0
Nuclei_Texture_InverseDifferenceMoment_ER_5_02,0
Nuclei_Texture_InverseDifferenceMoment_ER_5_03,0
Nuclei_Texture_InverseDifferenceMoment_Mito_10_00,0
Nuclei_Texture_InverseDifferenceMoment_Mito_10_01,0
Nuclei_Texture_InverseDifferenceMoment_Mito_10_02,0
Nuclei_Texture_InverseDifferenceMoment_Mito_10_03,0
Nuclei_Texture_InverseDifferenceMoment_Mito_20_00,0
Nuclei_Texture_InverseDifferenceMoment_Mito_20_01,0
Nuclei_Texture_InverseDifferenceMoment_Mito_20_02,0
Nuclei_Texture_InverseDifferenceMoment_Mito_20_03,0
Nuclei_Texture_InverseDifferenceMoment_Mito_5_00,0
Nuclei_Texture_InverseDifferenceMoment_Mito_5_01,0
Nuclei_Texture_InverseDifferenceMoment_Mito_5_02,0
Nuclei_Texture_InverseDifferenceMoment_Mito_5_03,0
Nuclei_Texture_InverseDifferenceMoment_RNA_10_00,0
Nuclei_Texture_InverseDifferenceMoment_RNA_10_01,0
Nuclei_Texture_InverseDifferenceMoment_RNA_10_02,0
Nuclei_Texture_InverseDifferenceMoment_RNA_10_03,0
Nuclei_Texture_InverseDifferenceMoment_RNA_20_00,0
Nuclei_Texture_InverseDifferenceMoment_RNA_20_01,0
Nuclei_Texture_InverseDifferenceMoment_RNA_20_02,0
Nuclei_Texture_InverseDifferenceMoment_RNA_20_03,0
Nuclei_Texture_InverseDifferenceMoment_RNA_5_00,0
Nuclei_Texture_InverseDifferenceMoment_RNA_5_01,0
Nuclei_Texture_InverseDifferenceMoment_RNA_5_02,0
Nuclei_Texture_InverseDifferenceMoment_RNA_5_03,0
Nuclei_Texture_SumAverage_AGP_10_00,0
Nuclei_Texture_SumAverage_AGP_10_01,0
Nuclei_Texture_SumAverage_AGP_10_02,0
Nuclei_Texture_SumAverage_AGP_10_03,0
Nuclei_Texture_SumAverage_AGP_20_00,0
Nuclei_Texture_SumAverage_AGP_20_01,0
Nuclei_Texture_SumAverage_AGP_20_02,0
Nuclei_Texture_SumAverage_AGP_20_03,0
Nuclei_Texture_SumAverage_AGP_5_00,0
Nuclei_Texture_SumAverage_AGP_5_01,0
Nuclei_Texture_SumAverage_AGP_5_02,0
